title,description,points,price,variety,region_1,variety_region
Apolloni 2015 Estate Pinot Grigio (Willamette Valley),"This is a light easy-drinking style that fills the quaffable white wine bill quite nicely. It's lemony and tart, with a slice of orange peel for extra interest.",87,16.0,Pinot Grigio,Willamette Valley,Pinot Grigio-Willamette Valley
Pemartín NV Fino Palomino (Jerez),"Mild aromas of butter, hay and sea water feed into a crisp fresh palate that's punchy and solid. Lightly salted briny white-fruit flavors are classic for a fino, while this offers hints of vanilla and white pepper on the back end.",89,13.0,Palomino,Jerez,Palomino-Jerez
Fabre Montmayou 2011 Phebus Estate Bottled Malbec (Río Negro Valley),"Jammy berry and cassis aromas come with a bit of leather and horse hide. This brings it on the palate, but there isn't much finesse to the mix of blackberry and baked plum flavors along with hard tannins. Give this time in the glass and it opens up and mellows out.",88,16.0,Malbec,Río Negro Valley,Malbec-Río Negro Valley
L'Ecole No. 41 2011 Estate Grown Seven Hills Vineyard Perigee Red (Walla Walla Valley (WA)),"A five-grape, Bordeaux-style blend, it's still a big, tough, chewy, tannic wine with a chunky, somewhat blocky mouthfeel. Cherry, cassis and wood flavors dominate, and the tannins are quite astringent. Re-tasted over many hours it remained stubbornly hard and compact. Give this one some further bottle age.",90,50.0,Bordeaux-style Red Blend,Walla Walla Valley (WA),Bordeaux-style Red Blend-Walla Walla Valley (WA)
Clos LaChance 2015 Chardonnay (Monterey County),"Squeezed lime, pear shavings and poached apple arise on the nose of this bottling. There is a tingling and tactile acidity on the sip, but only very light flavors of green pear and lime rind.",85,15.0,Chardonnay,Monterey County,Chardonnay-Monterey County
Abacela 2016 Viognier (Umpqua Valley),"Stainless steel fermented and bone-dry, this leesy, creamy wine balances lime, lemon and grapefruit flavors. Those citrus notes roll through richer dried apricot tones and into a balanced, persistent finish. Drink now and over the next two years.",91,26.0,Viognier,Umpqua Valley,Viognier-Umpqua Valley
Hartford 2007 Jennifer's Pinot Noir (Russian River Valley),"One of the ripest of Hartford's new Pinots, this is a full-bodied and very rich wine. It offers extreme flavor in place of subtlety, offering a massive palate wash of blackberries and cherries that veers into Lifesaver candy. The bet is ageability. Hold until after 2011.",91,65.0,Pinot Noir,Russian River Valley,Pinot Noir-Russian River Valley
Castello d'Albola 2009 Le Ellere  (Chianti Classico),"Le Ellere is a straightforward Chianti Classico that shows characteristic Sangiovese aromas of wild berry, wet earth and blue flower backed by subtle touches of spice, Spanish cedar and tobacco. The mouthfeel is bright and compact with balanced acidity on the close.",88,25.0,Sangiovese,Chianti Classico,Sangiovese-Chianti Classico
Rochioli 2010 South River Vineyard Chardonnay (Russian River Valley),"A spectacular Chardonnay—this is dazzingly beautiful and mesmerizing in its appeal. The complexity of flavor stuns, offering tiers of pineapples, oranges, green apples and golden mangoes. Then the oaky influences appear in the form of buttered toast and caramel, with a suggestion of honey. The finish is dry and crisp in acidity.",97,60.0,Chardonnay,Russian River Valley,Chardonnay-Russian River Valley
Heggies Vineyard 2000 Chardonnay (Eden Valley),"A straightforward, moderately priced Chard, with characteristic golden apple and toast notes from start to finish. A good wine, but those averse to wood should steer clear.",84,20.0,Chardonnay,Eden Valley,Chardonnay-Eden Valley
Madroña 2004 Cabernet Sauvignon (El Dorado),"Ripe and simple, with flavors of black currants, sweet olive tapenade and mocha. It's a clean, pleasant wine to wash down meats and cheeses and not worry about impressing the neighbors.",85,18.0,Cabernet Sauvignon,El Dorado,Cabernet Sauvignon-El Dorado
Gitton Père et Fils 2015 Les Montachins  (Sancerre),"Ostentatiously ripe, this full-bodied wine hardly hides its richness. It's generous and packed with fruitiness. The acidity and the tighter texture are backdrops to this great burst of fruit. Drink now.",91,25.0,Sauvignon Blanc,Sancerre,Sauvignon Blanc-Sancerre
Pauletts 2007 Polish Hill River Shiraz (Clare Valley),"Clean, crisp and easy to drink, with raspberry fruit accented by subtle wood spice and cedar elements. Tannins are soft, making this a Shiraz to drink now and over the next few years.",88,22.0,Shiraz,Clare Valley,Shiraz-Clare Valley
Taittinger NV Nocturne Sec  (Champagne),"In the strange world of Champagne, Sec (dry) on the label means a wine that is less dry than Brut. It is more to do with fullness and weight than sugar. This wine bears ripe fruit, flavors of peaches, creamy pears and light nougat and spice character. Pair this with richly sauced foods.",90,100.0,Champagne Blend,Champagne,Champagne Blend-Champagne
Caligiore 2010 Reserve Malbec (Mendoza),"Berry and black plum aromas build the nose. It's bold but a little acidic, with medium intensity and weight supporting snappy flavors of wild blackberry and slightly tart plum. The finish is quick and juicy.",87,15.0,Malbec,Mendoza,Malbec-Mendoza
Finca Los Maza 2006 Don Maza Malbec (Mendoza),"Hard and fiery, with spearmint dominating the nose. Raw and jumpy in the mouth, with hard berry and coffee flavors. Not much else to say about this tough wine; it's a fighter not a lover. Imported by USA Wine Imports.",81,9.0,Malbec,Mendoza,Malbec-Mendoza
