title,description,points,price,variety,region_1,variety_region
Bar Dog 2015 Cabernet Sauvignon (California),"This is a good, solidly made wine with medium body and a pleasant mix of spicy oak and juicy fruit flavors. The texture goes easy on the palate.",87,13.0,Cabernet Sauvignon,California,Cabernet Sauvignon-California
Horsepower 2012 Sur Echalas Vineyard Syrah (Walla Walla Valley (WA)),"Arresting and perfumed, this wine displays aromas of stargazer lilies, fire pit, tapenade and smoked meat, displaying exquisite nuance and detail. Flavors are intensely rich yet light in their styling, with a savory and floral finish that continues as long as you care to count. It displays a rare sense of delicacy and intensity that is breathtaking.",96,115.0,Syrah,Walla Walla Valley (WA),Syrah-Walla Walla Valley (WA)
Tildio 2005 SBW Red Wine Red (Columbia Valley (WA)),"This pleasant Merlot/Cabernet blend brings ripe cherry fruit flavors that border on raisiny. It's forward, round, soft and fruity, with the Merlot definitely dominating the front, while the Cabernet adds a bit of weight and substance to the finish.",86,22.0,Red Blend,Columbia Valley (WA),Red Blend-Columbia Valley (WA)
J Vineyards & Winery NV Brut Rosé Sparkling (Russian River Valley),"A little rough and scoury, but fine and crisp and clean, with a slight sweetness from the dosage enriching the citrus, apple, yeast and vanilla flavors. Fancy and elegant.",87,35.0,Sparkling Blend,Russian River Valley,Sparkling Blend-Russian River Valley
Villa Pillo 2008 Cypresses Sangiovese (Toscana),Cypresses is a direct and charming expression of Sangiovese from Tuscany that seems designed for informal dinners with family and friends. Simple aromas of berry and forest fruit are followed by fresh crispness.,86,16.0,Sangiovese,Toscana,Sangiovese-Toscana
Adelsheim 2011 Elizabeth's Reserve Pinot Noir (Willamette Valley),"Elizabeth's Reserve is comprised of Adelsheim's “best barrels from our best lots.” In this light vintage it brings scents and flavors of pretty cherry and apple fruit, along with a hint of milk chocolate. The tannins are moderate, and there's a streak of root beer and a little stemmy bitterness carrying through the finish.",89,55.0,Pinot Noir,Willamette Valley,Pinot Noir-Willamette Valley
Villa Matilde 2003 Red (Falerno del Massico),"Aglianico and Piedirosso grapes are blended to produce a thick and broad wine with an inky black color and notes of very ripe red fruit. It has a sweet, chewy aspect with vibrant, albeit densely extracted fruit and soaring tannins. Try it with a beef stew or similarly heavy dishes.",89,21.0,Red Blend,Falerno del Massico,Red Blend-Falerno del Massico
Snowden 2013 The Ranch Cabernet Sauvignon (Napa Valley),"Super-dark in color, this extracted wine offers a reductive note on the nose, followed by a rustic tinge of hay and brick. Intensely flavored and oaked, it finishes unexpectedly herbal and dry.",87,54.0,Cabernet Sauvignon,Napa Valley,Cabernet Sauvignon-Napa Valley
Heintz 2007 Chardonnay (Sonoma Coast),"A very good wine that easily earns its score, but is not perfect. It's a bit on the fruity-sweet, one-dimensional side, with jammy pineapple and apricot flavors, enriched with sweet, smoky, vanilla-accented oak. Yet fine, firm coastal acidity provides needed balance.",91,48.0,Chardonnay,Sonoma Coast,Chardonnay-Sonoma Coast
TintoNegro 2010 Uco Valley Reserve Malbec (Mendoza),"Foxy and jumpy on the nose, with candied red-berry and cherry aromas. Feels resiny, but there's enough acid to keep it moving forward. Flavors of plum and berry come with a lot of oak and barrel influence. Finishes resiny, with hints of vanilla and a burnt quality.",84,17.0,Malbec,Mendoza,Malbec-Mendoza
