Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
93113,Portugal,"This latest vintage of Falcoaria red is smooth and ripe while also structured. It has great tannins, a dense texture and layers of rich red fruits and acidity. The wood aging gives extra richness as well as spicing up the fruitiness. Drink from 2016.",Falcoaria Clássico,90,20.0,Tejo,,,Roger Voss,@vossroger,Quinta do Casal Branco 2012 Falcoaria Clássico Red (Tejo),Portuguese Red,Quinta do Casal Branco
64776,US,"This is a good, solidly made wine with medium body and a pleasant mix of spicy oak and juicy fruit flavors. The texture goes easy on the palate.",,87,13.0,California,California,California Other,Jim Gordon,@gordone_cellars,Bar Dog 2015 Cabernet Sauvignon (California),Cabernet Sauvignon,Bar Dog
113988,New Zealand,"This fruit-forward Sauvignon Blanc offers a blend of pineapple and nectarine up front, then shows a stony, austere side on the palate, where it ends on dry notes of crushed stone.",Estate,87,16.0,Martinborough,,,Joe Czerwinski,@JoeCz,Murdoch James 2015 Estate Sauvignon Blanc (Martinborough),Sauvignon Blanc,Murdoch James
118956,US,"Arresting and perfumed, this wine displays aromas of stargazer lilies, fire pit, tapenade and smoked meat, displaying exquisite nuance and detail. Flavors are intensely rich yet light in their styling, with a savory and floral finish that continues as long as you care to count. It displays a rare sense of delicacy and intensity that is breathtaking.",Sur Echalas Vineyard,96,115.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Horsepower 2012 Sur Echalas Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Horsepower
35034,US,"This pleasant Merlot/Cabernet blend brings ripe cherry fruit flavors that border on raisiny. It's forward, round, soft and fruity, with the Merlot definitely dominating the front, while the Cabernet adds a bit of weight and substance to the finish.",SBW Red Wine,86,22.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Tildio 2005 SBW Red Wine Red (Columbia Valley (WA)),Red Blend,Tildio
105988,US,"A little rough and scoury, but fine and crisp and clean, with a slight sweetness from the dosage enriching the citrus, apple, yeast and vanilla flavors. Fancy and elegant.",Brut Rosé,87,35.0,California,Russian River Valley,Sonoma,,,J Vineyards & Winery NV Brut Rosé Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery
64206,Italy,Cypresses is a direct and charming expression of Sangiovese from Tuscany that seems designed for informal dinners with family and friends. Simple aromas of berry and forest fruit are followed by fresh crispness.,Cypresses,86,16.0,Tuscany,Toscana,,,,Villa Pillo 2008 Cypresses Sangiovese (Toscana),Sangiovese,Villa Pillo
91926,US,"Elizabeth's Reserve is comprised of Adelsheim's “best barrels from our best lots.” In this light vintage it brings scents and flavors of pretty cherry and apple fruit, along with a hint of milk chocolate. The tannins are moderate, and there's a streak of root beer and a little stemmy bitterness carrying through the finish.",Elizabeth's Reserve,89,55.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2011 Elizabeth's Reserve Pinot Noir (Willamette Valley),Pinot Noir,Adelsheim
1892,Italy,"Aglianico and Piedirosso grapes are blended to produce a thick and broad wine with an inky black color and notes of very ripe red fruit. It has a sweet, chewy aspect with vibrant, albeit densely extracted fruit and soaring tannins. Try it with a beef stew or similarly heavy dishes.",,89,21.0,Southern Italy,Falerno del Massico,,,,Villa Matilde 2003 Red (Falerno del Massico),Red Blend,Villa Matilde
108322,US,"Super-dark in color, this extracted wine offers a reductive note on the nose, followed by a rustic tinge of hay and brick. Intensely flavored and oaked, it finishes unexpectedly herbal and dry.",The Ranch,87,54.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Snowden 2013 The Ranch Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Snowden
