Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
13558,Australia,"A simple, lemony style that would work best with shellfish but has just enough pear and quince fruit to lend it flesh. Finishes tart and clean.",,84,9.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Ghost Gum 2000 Chardonnay (South Eastern Australia),Chardonnay,Ghost Gum
20765,Greece,"This wine has an element of candied watermelon and cherry in the aromas that gives it a rocky start, but on the palate, bright cherry, watermelon and spice are a bit more becoming. A simple wine with a fruity kick.",,82,15.0,Peloponnese,,,Susan Kostrzewa,@suskostrzewa,My Big Fat Greek Wine 2010 Cabernet Sauvignon (Peloponnese),Cabernet Sauvignon,My Big Fat Greek Wine
69500,France,"Made from 40% Syrah, 40% Grenache and 20% Mourvedre, this offers medium-intense aromas of medicinal cherry and raspberry, with a white chocolate accent. Fleshy and round, there's a heaviness to the midpalate, while cherry skin and sweet spice tones grace the finish.",,84,17.0,Languedoc-Roussillon,Languedoc,,Lauren Buzzeo,@laurbuzz,Domaine de Nizas 2015 Rosé (Languedoc),Rosé,Domaine de Nizas
50569,France,"The original Dagueneau domaine, Berthiers has produced a rich, warm wine, full in style, layering its crisp lemon acidity with ripe pear flavors. As often with Pouilly Fumé, it's a wine that needs aging, so drink from 2014.",Saint-Andelain,90,24.0,Loire Valley,Pouilly-Fumé,,Roger Voss,@vossroger,Domaine des Berthiers 2012 Saint-Andelain  (Pouilly-Fumé),Sauvignon Blanc,Domaine des Berthiers
109485,France,"Certified French organic with this vintage, this 100% Merlot is ripe, full-bodied and already showing its potential richness. Terroir-driven black fruits and generous tannins give a warm character to the wine that is then backed by black fruits and final acidity. This is a generous wine from the Verdier family, ready to age. Drink from 2018.",,89,18.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Brethous 2012  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château Brethous
14752,US,"A blend of 68% Cabernet Sauvignon and 32% Merlot, this offers aromas of high-toned red fruit, French-oak spice and herbs that lead to luxurious but still in-check dark-fruit flavors. Tart black-tea accents persist on the finish.",Soleil,90,20.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Soos Creek 2014 Soleil Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Soos Creek
62961,Italy,"Pipe and chewing tobacco appear at first and are followed by mature tones of prune, plum and dark spice. This masculine and brawny expression has the acidity to pair with deep pan pizza piled high with toppings.",Ombroso Riserva,88,45.0,Central Italy,Sangiovese di Romagna Superiore,,,,Giovanna Madonia 2008 Ombroso Riserva  (Sangiovese di Romagna Superiore),Sangiovese,Giovanna Madonia
51794,Serbia,"This Serbian 100% Portuguiser offers scents of dried cherry, dried herbs and fresh tarragon, and follows up with tastes of red plum and dried strawberry.",,86,15.0,Fruška Gora,,,Jeff Jenssen,@worldwineguys,Agrina 2014 Portuguiser (Fruška Gora),Portuguiser,Agrina
76083,Italy,"Made with 80% Sangiovese and 20% Syrah, this has aromas of red berry and green tea leaf. The scents carry over to the fresh palate, along with black currant, cinnamon and white pepper. Supple tannins support the juicy flavors.",,88,22.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Ziobaffa 2015 Red (Toscana),Red Blend,Ziobaffa
110009,Italy,"This earthy wine opens with slightly funky aromas including tilled soil, game, leather and just a whiff of farmyard that quickly burns off. The delicious palate delivers ripe black cherry accented with notes of cracked red pepper, orange peel, sage, thyme and licorice. It's still tightly tannic so give this time to unwind. Drink after 2020.",Sistaglia,92,60.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Deltetto 2010 Sistaglia  (Barolo),Nebbiolo,Deltetto
28445,Spain,"Smells earthy, murky and a little raisiny, and then in the mouth it scratches with grating tannins in support of floral cherry and tart red fruit flavors. Finishes sort of hollow and sour; standard issue at best.",Viñas Viejas,83,18.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Milcampos 2008 Viñas Viejas  (Ribera del Duero),Tempranillo,Milcampos
22169,Italy,"Here is a masculine and robust blend of Sangiovese, Cab Sauvignon and Merlot that exhibits thick concentration and aromas of exotic spices, cherry, prune, plum, vanilla and Amaretto. The nose is gorgeous but the mouthfeel is less convincing, with firm tannins.",Tuscany,87,20.0,Tuscany,Toscana,,,,Kirkland Signature 2004 Tuscany Red (Toscana),Red Blend,Kirkland Signature
3313,US,"A bit heavy handed, with lots of tannins and acidity, and the jammy cherry-berry fruit is in your face. It's made in a big, bold style that will appeal to fruit-forward fans.",Turner Vineyard,87,40.0,California,Sta. Rita Hills,Central Coast,,,Ortman Family 2008 Turner Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Ortman Family
123546,France,"On the lean side, this taut and crisp red-currant-flavored wine is dominated by acidity and dry tannins. It seems to miss out on generosity.",Les Mondes Rondes,84,,Burgundy,Côte de Beaune,,Roger Voss,@vossroger,Domaine Poulleau Père et Fils 2010 Les Mondes Rondes  (Côte de Beaune),Pinot Noir,Domaine Poulleau Père et Fils
129436,Uruguay,"Jammy aromas of floral berry fruits, lavender and violets are savory and stir interest. Drying tannins are the roughest part of a mostly balanced palate, while blue-fruit flavors are backed by chocolaty oak. A finish with manageable tannins is the close.",Varietals,87,20.0,Uruguay,,,Michael Schachner,@wineschach,Garzón 2014 Varietals Tannat (Uruguay),Tannat,Garzón
24665,US,"All stainless steel fermented using Dijon clones. A clean, delicate style, but with an elegant touch and nuances of honey, clove. Very well balanced and textured, with a light but long progression of flavors.",,88,16.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Paschal 1999 Chardonnay (Rogue Valley),Chardonnay,Paschal
89966,France,"This lemon-scented Riesling has a bright apple character and hints of peach. It is also delightfully fragrant, while the finish is bright.",Réserve,87,18.0,Alsace,Alsace,,Roger Voss,@vossroger,Lucien Albrecht 2012 Réserve Riesling (Alsace),Riesling,Lucien Albrecht
87289,US,"The lovely wines from this pioneering estate, now in the capable hands of second-generation winemaker Jason Lett, are generally priced well below any comparable efforts. Here the texture and minerality evoke surpassing elegance. Lime, grapefruit, a bite of pineapple all come into play, with the depth and balance that suggests several years of life ahead.",,92,19.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,The Eyrie Vineyards 2013 Pinot Gris (Dundee Hills),Pinot Gris,The Eyrie Vineyards
87766,Italy,"Enticing scents of elderflower, gooseberry and a whiff of exotic fruit are noticeable on this elegant white. The bright palate offers grapefruit, kiwi and mineral accompanied by lively acidity.",Floreado,88,25.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Andriano 2014 Floreado Sauvignon (Alto Adige),Sauvignon,Andriano
94710,US,"Mistral is 80% Syrah and 20% Grenache, aged two years in 20% new French oak. A pleasing hint of funk envelops the ripe purple berry and cassis fruit. Savory herb and pepper highlights come into play, and the long, smooth finish shows clean earth and a pat of butter.",Mistral,91,26.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Jaxon 2012 Mistral Syrah-Grenache (Rogue Valley),Syrah-Grenache,Jaxon
686,Italy,"This opens with aromas of underbrush, leather, berry and a balsamic note. The forward palate offers dried cherry, white pepper, tobacco and the warmth of alcohol alongside firm tannins. Drink this sooner rather than later.",Acclivi,90,53.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Comm. G. B. Burlotto 2011 Acclivi  (Barolo),Nebbiolo,Comm. G. B. Burlotto
122142,New Zealand,"Pungent scents of crushed tomato or nettle leaves enliven this lightweight wine. It's citrusy and pleasantly leafy on the palate, with a finish that turns slightly chalky.",,86,15.0,Marlborough,,,Joe Czerwinski,@JoeCz,Oyster Bay 2011 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Oyster Bay
85725,US,"Tastes of perfectly ripened pineapple, pear, lime and peach flavors. On the structural side is fine acidity and a tangy minerality, like a lick of cold steel. Oak is here, notable but perfectly integrated. Give this Chard a little time in the glass to breathe.",Estate Collection,93,35.0,California,Russian River Valley,Sonoma,,,De Loach 2010 Estate Collection Chardonnay (Russian River Valley),Chardonnay,De Loach
127722,Hungary,"This Hungarian red blend has smoke, charcuterie and black raspberry aromas. Black plum, smoked meat and black raspberry flavors mark the palate, which finishes in a surprising burst of tart cherry.",NJK Nagy Eged Grand Cru,89,56.0,Eger,,,Jeff Jenssen,@worldwineguys,Kovács Nimród 2009 NJK Nagy Eged Grand Cru Red (Eger),Red Blend,Kovács Nimród
7968,US,"The nose on this wine is very peachy, boosted in the ripe department by banana, honeysuckle and tuberose. The palate is also rich and forward, with dried apricots and buttered peaches. It's well made, just quite tropical, and would complement roasted chicken.",,86,21.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pear Valley 2013 Viognier (Paso Robles),Viognier,Pear Valley
123881,US,"Lavish yet not overdone aromas of vanilla, plumeria, dried banana and yellow peach arise from the glass in this blend of 45% Viognier, 45% Marsanne and 10% Roussanne. There is a honeyed character to the palate, along with banana, mango and buttered guava bread, proving quite tropical yet very welcoming.",Blanc,91,30.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Treana 2014 Blanc White (Central Coast),Rhône-style White Blend,Treana
30438,France,"This is described as a natural wine with zero sulphite. It has a perfumed character with an earthy edge that comes from the carbonic maceration (whole bunch fermentation). With cherry fruits and bright acidity, the wine is ready to drink.",Indigène,87,28.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Château de Javernand 2014 Indigène  (Chiroubles),Gamay,Château de Javernand
48193,US,"A beautiful wine, dry and classically structured, showing the elegant balance for aging. Made from 100% Cabernet Sauvignon, it's long and deep in blackberries and cassis. Give it a brief decant if you open it now, but it should develop over the next six years, at least.",,93,70.0,California,Napa Valley,Napa,,,Corison 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Corison
24370,Argentina,"Cherry, plum, bacon and licorice are all good aromas that indicate that this value wine has quality backing it up. The palate is fresh and clean, with depth and ripe, slightly oaked flavors of cassis, blackberry and chocolate. Easy to like, with toasty touches throughout.",Oak Cask,88,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Trapiche 2009 Oak Cask Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Trapiche
55029,Italy,"A 50-50 blend of Pinot Grigio and Sauvignon Blanc that's crisp and ripe, and offers a touch of spice. A lovely, fresh, green wine.",Due Uve,85,13.0,Northeastern Italy,Delle Venezie,,Roger Voss,@vossroger,Bertani 2002 Due Uve White (Delle Venezie),White Blend,Bertani
49716,Austria,"Smoky hints play about the nose but the palate comes through with green pears, pear peel, grapefruit zest and yeasty, peppery savoriness. Layers of flavor emerge, and savory spice wins the day. This will be compelling with soft cheeses.",Rabenstein Reserve,91,20.0,Weinviertel,,,Anne Krebiehl MW,@AnneInVino,Dürnberg 2013 Rabenstein Reserve Grüner Veltliner (Weinviertel),Grüner Veltliner,Dürnberg
76673,Argentina,"With its bright pink color and fruity aromas of cherry, strawberry and raspberry, this wine is more good than bad. The palate feels fresh, balanced and juicy, while flavors of plum, cherry and red licorice finish clean.",1300 Malbec,85,15.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Andeluna 2013 1300 Malbec Rosé (Uco Valley),Rosé,Andeluna
104100,Italy,"This opens with white flower, yellow stone fruit and honeydew melon aromas. The fruity sensations carry over to the palate, with a tangerine zest note and tangy acidity that leads to a juicy finish.",Sereole,87,,Veneto,Soave Colli Scaligeri,,Kerin O’Keefe,@kerinokeefe,Bertaini 2016 Sereole  (Soave Colli Scaligeri),Garganega,Bertaini
